2017 NAICS Code,2017 NAICS Title
,
111110,SOYBEAN FARMING
111120,OILSEED (EXCEPT SOYBEAN) FARMING 
111130,DRY PEA AND BEAN FARMING 
111140,WHEAT FARMING
111150,CORN FARMING 
111160,RICE FARMING
111191,OILSEED AND GRAIN COMBINATION FARMING 
111199,ALL OTHER GRAIN FARMING 
111211,POTATO FARMING 
111219,OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING 
111310,ORANGE GROVES
111320,CITRUS (EXCEPT ORANGE) GROVES 
111331,APPLE ORCHARDS 
111332,GRAPE VINEYARDS 
111333,STRAWBERRY FARMING 
111334,BERRY (EXCEPT STRAWBERRY) FARMING 
111335,TREE NUT FARMING 
111336,FRUIT AND TREE NUT COMBINATION FARMING 
111339,OTHER NONCITRUS FRUIT FARMING 
111411,MUSHROOM PRODUCTION 
111419,OTHER FOOD CROPS GROWN UNDER COVER 
111421,NURSERY AND TREE PRODUCTION 
111422,FLORICULTURE PRODUCTION 
111910,TOBACCO FARMING
111920,COTTON FARMING
111930,SUGARCANE FARMING
111940,HAY FARMING 
111991,SUGAR BEET FARMING 
111992,PEANUT FARMING 
111998,ALL OTHER MISCELLANEOUS CROP FARMING 
112111,BEEF CATTLE RANCHING AND FARMING 
112112,CATTLE FEEDLOTS 
112120,DAIRY CATTLE AND MILK PRODUCTION
112130,DUAL-PURPOSE CATTLE RANCHING AND FARMING 
112210,HOG AND PIG FARMING 
112310,CHICKEN EGG PRODUCTION 
112320,BROILERS AND OTHER MEAT TYPE CHICKEN PRODUCTION 
112330,TURKEY PRODUCTION
112340,POULTRY HATCHERIES
112390,OTHER POULTRY PRODUCTION 
112410,SHEEP FARMING
112420,GOAT FARMING
112511,FINFISH FARMING AND FISH HATCHERIES 
112512,SHELLFISH FARMING 
112519,OTHER AQUACULTURE 
112910,APICULTURE
112920,HORSES AND OTHER EQUINE PRODUCTION
112930,FUR-BEARING ANIMAL AND RABBIT PRODUCTION
112990,ALL OTHER ANIMAL PRODUCTION 
113110,TIMBER TRACT OPERATIONS
113210,FOREST NURSERIES AND GATHERING OF FOREST PRODUCTS 
113310,LOGGING 
114111,FINFISH FISHING 
114112,SHELLFISH FISHING 
114119,OTHER MARINE FISHING 
114210,HUNTING AND TRAPPING
115111,COTTON GINNING 
115112,"SOIL PREPARATION, PLANTING, AND CULTIVATING "
115113,"CROP HARVESTING, PRIMARILY BY MACHINE "
115114,POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING) 
115115,FARM LABOR CONTRACTORS AND CREW LEADERS 
115116,FARM MANAGEMENT SERVICES 
115210,SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION
115310,SUPPORT ACTIVITIES FOR FORESTRY
211120,CRUDE PETROLEUM EXTRACTION 
211130,NATURAL GAS EXTRACTION 
212111,BITUMINOUS COAL AND LIGNITE SURFACE MINING 
212112,BITUMINOUS COAL UNDERGROUND MINING 
212113,ANTHRACITE MINING 
212210,IRON ORE MINING
212221,GOLD ORE MINING 
212222,SILVER ORE MINING 
212230,"COPPER, NICKEL, LEAD, AND ZINC MINING "
212291,URANIUM-RADIUM-VANADIUM ORE MINING 
212299,ALL OTHER METAL ORE MINING 
212311,DIMENSION STONE MINING AND QUARRYING 
212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING 
212313,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING 
212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING 
212321,CONSTRUCTION SAND AND GRAVEL MINING 
212322,INDUSTRIAL SAND MINING 
212324,KAOLIN AND BALL CLAY MINING 
212325,CLAY AND CERAMIC AND REFRACTORY MINERALS MINING 
